"lang"
{
"Language"	"finnish"
"[english]L4D_Scavenge_MatchWon"	"YOU WON THE MATCH!"
"L4D_Scavenge_MatchLost"	"HÄVISIT MATSIN"
"[english]L4D_Scavenge_MatchLost"	"YOU LOST THE MATCH"
"L4D_Scavenge_MatchTied"	"MATSI PÄÄTTYI TASAPELIIN!"
"[english]L4D_Scavenge_MatchTied"	"THE MATCH ENDED IN A TIE!"
"L4D_Scavenge_Wins"	"Voitetut erät"
"[english]L4D_Scavenge_Wins"	"Rounds Won"
"L4D_Scavenge_YourTeam"	"Tiimisi:"
"[english]L4D_Scavenge_YourTeam"	"Your Team:"
"L4D_Scavenge_Opponent"	"Vihollistiimi:"
"[english]L4D_Scavenge_Opponent"	"Enemy Team:"
"L4D_Scavenge_Survivors_Wiped"	"Selviytyjät tapettiin!"
"[english]L4D_Scavenge_Survivors_Wiped"	"The Survivors were killed!"
"L4D_Scavenge_Map_Cleared"	"Selviytyjät selvisivät kartasta!"
"[english]L4D_Scavenge_Map_Cleared"	"The Survivors cleared the map!"
"L4D_Scavenge_Time_Expired"	"Aika päättyi!"
"[english]L4D_Scavenge_Time_Expired"	"The timer expired!"
"L4D_Scavenge_TieBreaker_Title"	"UUSINTA"
"[english]L4D_Scavenge_TieBreaker_Title"	"TIE BREAKER"
"L4D_Scavenge_TieBreaker_Description"	"%s1 pisteeseen vaadittu aika:"
"[english]L4D_Scavenge_TieBreaker_Description"	"Time it took to reach %s1 points:"
"L4D_Scavenge_TieBreaker_Description_Singular"	"1 pisteeseen vaadittu aika:"
"[english]L4D_Scavenge_TieBreaker_Description_Singular"	"Time it took to reach 1 point:"
"L4D_Scavenge_TieBreaker_Description_Zero"	"Erään kulunut aika:"
"[english]L4D_Scavenge_TieBreaker_Description_Zero"	"Time it took for the round to end:"
"L4D_Versus_TieBreaker_Description"	"Tekivät eniten vahinkoa saastuneina:"
"[english]L4D_Versus_TieBreaker_Description"	"Did the most damage as Infected:"
"medal_0_earned"	"%s1 ansaitsi pronssimitalin!"
"[english]medal_0_earned"	"%s1 has earned the Bronze Medal!"
"medal_1_earned"	"%s1 ansaitsi hopeamitalin!"
"[english]medal_1_earned"	"%s1 has earned the Silver Medal!"
"medal_2_earned"	"%s1 ansaitsi kultamitalin!"
"[english]medal_2_earned"	"%s1 has earned the Gold Medal!"
"L4D_Weapon_Pistol"	"Pistooli"
"[english]L4D_Weapon_Pistol"	"Pistol"
"L4D_Weapon_Pistol_CAPS"	"PISTOOLI"
"[english]L4D_Weapon_Pistol_CAPS"	"PISTOL"
"L4D_Weapon_SMG"	"Konepistooli"
"[english]L4D_Weapon_SMG"	"Submachine Gun"
"L4D_Weapon_SMG_CAPS"	"KONEPISTOOLI"
"[english]L4D_Weapon_SMG_CAPS"	"SUBMACHINE GUN"
"L4D_Weapon_PumpShotgun"	"Pumppuhaulikko"
"[english]L4D_Weapon_PumpShotgun"	"Pump Shotgun"
"L4D_Weapon_PumpShotgun_CAPS"	"PUMPPUHAULIKKO"
"[english]L4D_Weapon_PumpShotgun_CAPS"	"PUMP SHOTGUN"
"L4D_Weapon_AutoShotgun"	"Automaattihaulikko"
"[english]L4D_Weapon_AutoShotgun"	"Auto Shotgun"
"L4D_Weapon_AutoShotgun_CAPS"	"AUTOMAATTIHAULIKKO"
"[english]L4D_Weapon_AutoShotgun_CAPS"	"AUTO SHOTGUN"
"L4D_Weapon_AssaultRifle"	"Rynnäkkökivääri"
"[english]L4D_Weapon_AssaultRifle"	"Assault Rifle"
"L4D_Weapon_AssaultRifle_CAPS"	"RYNNÄKKÖKIVÄÄRI"
"[english]L4D_Weapon_AssaultRifle_CAPS"	"ASSAULT RIFLE"
"L4D_Weapon_HuntingRifle"	"Metsästyskivääri"
"[english]L4D_Weapon_HuntingRifle"	"Hunting Rifle"
"L4D_Weapon_HuntingRifle_CAPS"	"METSÄSTYSKIVÄÄRI"
"[english]L4D_Weapon_HuntingRifle_CAPS"	"HUNTING RIFLE"
"L4D_Weapon_FirstAidKit"	"Ensiapupakkaus"
"[english]L4D_Weapon_FirstAidKit"	"First Aid Kit"
"L4D_Weapon_FirstAidKit_CAPS"	"ENSIAPUPAKKAUS"
"[english]L4D_Weapon_FirstAidKit_CAPS"	"FIRST AID KIT"
"L4D_Weapon_Molotov"	"Molotov"
"[english]L4D_Weapon_Molotov"	"Molotov"
"L4D_Weapon_Molotov_CAPS"	"MOLOTOV"
"[english]L4D_Weapon_Molotov_CAPS"	"MOLOTOV"
"L4D_Weapon_PipeBomb"	"Putkipommi"
"[english]L4D_Weapon_PipeBomb"	"Pipe Bomb"
"L4D_Weapon_PipeBomb_CAPS"	"PUTKIPOMMI"
"[english]L4D_Weapon_PipeBomb_CAPS"	"PIPE BOMB"
"L4D_Weapon_PainPills"	"Kipulääke"
"[english]L4D_Weapon_PainPills"	"Pain Pills"
"L4D_Weapon_PainPills_CAPS"	"KIPULÄÄKE"
"[english]L4D_Weapon_PainPills_CAPS"	"PAIN PILLS"
"L4D_melee_ability"	"Tönäise viholliset loitommas"	[$X360]
"[english]L4D_melee_ability"	"Push Away Enemies"
"L4D_melee_ability"	"Tönäise viholliset loitommas"	[$WIN32]
"[english]L4D_melee_ability"	"Push away enemies"
"L4D_zoom"	"Käytä metsästys-/tarkkuuskiväärin kiikaritähtäintä"	[$X360]
"[english]L4D_zoom"	"Use Hunting/Sniper Rifle Scope"
"L4D_zoom"	"Käytä metsästys-/tarkkuuskiväärin kiikaritähtäintä"	[$WIN32]
"[english]L4D_zoom"	"Use hunting/sniper rifle scope"
"L4D_give"	"Anna ase"	[$X360]
"[english]L4D_give"	"Give Weapon"
"L4D_give"	"Anna ase"	[$WIN32]
"[english]L4D_give"	"Give weapon"
"L4D_vote_yes"	"Äänestä nykyisen asian puolesta"	[$X360]
"[english]L4D_vote_yes"	"Vote Yes on Active Issue"
"L4D_vote_yes"	"Äänestä nykyisen asian puolesta"	[$WIN32]
"[english]L4D_vote_yes"	"Vote yes on active issue"
"L4D_vote_no"	"Äänestä nykyistä asiaa vastaan"	[$X360]
"[english]L4D_vote_no"	"Vote No on Active Issue"
"L4D_vote_no"	"Äänestä nykyistä asiaa vastaan"	[$WIN32]
"[english]L4D_vote_no"	"Vote no on active issue"
"L4D_call_vote"	"Järjestä äänestys"	[$X360]
"[english]L4D_call_vote"	"Call Vote"
"L4D_call_vote"	"Järjestä äänestys"	[$WIN32]
"[english]L4D_call_vote"	"Call vote"
"L4D_orders"	"Käskyt"
"[english]L4D_orders"	"Orders"
"L4D_questions"	"Kysymykset ja vastaukset"	[$X360]
"[english]L4D_questions"	"Questions and Answers"
"L4D_questions"	"Kysymykset ja vastaukset"	[$WIN32]
"[english]L4D_questions"	"Questions and answers"
"L4D_alerts"	"Ilmoitukset"
"[english]L4D_alerts"	"Alerts"
"L4D_taunt"	"Pilkka"
"[english]L4D_taunt"	"Taunt"
"L4D_select_class"	"Valitse luokka"	[$X360]
"[english]L4D_select_class"	"Select Class"
"L4D_select_class"	"Valitse luokka"	[$WIN32]
"[english]L4D_select_class"	"Select class"
"L4D_reportscreen"	"Näytä raporttiruutu"	[$X360]
"[english]L4D_reportscreen"	"Show Report Screen"
"L4D_reportscreen"	"Näytä raporttiruutu"	[$WIN32]
"[english]L4D_reportscreen"	"Show report screen"
"L4D_reposition"	"Valitse uusi saastuneiden luokka"	[$X360]
"[english]L4D_reposition"	"Pick New Infected Class"
"L4D_reposition"	"Valitse uusi saastuneiden luokka"	[$WIN32]
"[english]L4D_reposition"	"Pick new Infected class"
"L4D_hide_messagepanel"	"Piilota viestipaneeli"	[$X360]
"[english]L4D_hide_messagepanel"	"Hide Message Panel"
"L4D_hide_messagepanel"	"Piilota viestipaneeli"	[$WIN32]
"[english]L4D_hide_messagepanel"	"Hide message panel"
"L4D_Walk"	"Kävele (liiku hitaasti)"	[$X360]
"[english]L4D_Walk"	"Walk (Move Slowly)"
"L4D_Walk"	"Kävele (liiku hitaasti)"	[$WIN32]
"[english]L4D_Walk"	"Walk (move slowly)"
"L4D_ReportBug"	"Ilmoita viasta"
"[english]L4D_ReportBug"	"Report bug"
"L4D_vote_yes_binding"	"Kyllä: %s1"
"[english]L4D_vote_yes_binding"	"Yes: %s1"
"L4D_vote_no_binding"	"Ei: %s1"
"[english]L4D_vote_no_binding"	"No: %s1"
"L4D_vote_yes_tally"	"Kyllä."
"[english]L4D_vote_yes_tally"	"Yes"
"L4D_vote_no_tally"	"Ei"
"[english]L4D_vote_no_tally"	"No"
"L4D_vote_before_spawn_exit"	"Voit äänestää asiasta vain ennen, kuin pelaajat alkavat lähteä syntymisalueelta."
"[english]L4D_vote_before_spawn_exit"	"You can only vote on that before people leave the starting spawn area."
"L4D_vote_server_disabled_issue"	"Palvelin on poistanut asian käytöstä."
"[english]L4D_vote_server_disabled_issue"	"Server has disabled that issue."
"L4D_vote_arg_between_1_and_4"	"Tarvitsee arvon väliltä 1–4."
"[english]L4D_vote_arg_between_1_and_4"	"Needs value between 1 and 4."
"L4D_vote_arg_between_0_and_4"	"Tarvitsee arvon väliltä 0–4."
"[english]L4D_vote_arg_between_0_and_4"	"Needs value between 0 and 4."
"L4D_vote_already_survivor_limit"	"Selviytyjien rajamäärä on jo %s1."
"[english]L4D_vote_already_survivor_limit"	"Survivor limit is already %s1."
"L4D_vote_survivor_limit"	"Äänestys: muutetaanko selviytyjien rajamääräksi %s1?"
"[english]L4D_vote_survivor_limit"	"Vote: Make Survivor limit %s1?"
"L4D_vote_passed_max_survivors"	"Asia hyväksytty: enintään %s1 selviytyjää."
"[english]L4D_vote_passed_max_survivors"	"Vote passed: Max %s1 Survivors."
"L4D_vote_infected_limit"	"Saastuneiden pelaajien rajamäärä on jo %s1."
"[english]L4D_vote_infected_limit"	"Player Infected limit is already %s1."
"L4D_vote_dis_controlled_infected"	"Äänestys: Kielletäänkö pelaajien ohjaamat saastuneet?"
"[english]L4D_vote_dis_controlled_infected"	"Vote: Disallow human-controlled Infected."
"L4D_vote_controlled_infected"	"Äänestys: Sallitaanko pelaajien ohjaamat saastuneet?"
"[english]L4D_vote_controlled_infected"	"Vote: Allow human-controlled Infected."
"L4D_vote_passed_dis_cont_infect"	"Asia hyväksytty: pelaajien ohjaamat saastuneet kielletään."
"[english]L4D_vote_passed_dis_cont_infect"	"Vote passed: Disallow human-controlled Infected."
"L4D_vote_passed_cont_infect"	"Asia hyväksytty: pelaajien ohjaamat saastuneet sallitaan."
"[english]L4D_vote_passed_cont_infect"	"Vote passed: Allow human-controlled Infected."
"L4D_vote_needs_difficulty"	"Valitse Helppo, Normaali, Vaativa tai Mestari."
"[english]L4D_vote_needs_difficulty"	"Needs value of Easy, Normal, Advanced, or Expert."
"L4D_vote_difficulty_is"	"Vaikeustaso on jo %s1."
"[english]L4D_vote_difficulty_is"	"Difficulty is already %s1."
"L4D_vote_needs_on_off"	"Valitse Käytössä tai Poissa käytöstä."
"[english]L4D_vote_needs_on_off"	"Needs value of on or off."
"L4D_vote_light_already_allow"	"Taskulamput on jo sallittu."
"[english]L4D_vote_light_already_allow"	"Flashlights are already allowed."
"L4D_vote_light_already_disallow"	"Taskulamput on jo kielletty."
"[english]L4D_vote_light_already_disallow"	"Flashlights are already disallowed."
"L4D_vote_allow_lights"	"Äänestys: Sallitaanko taskulamput?"
"[english]L4D_vote_allow_lights"	"Vote: Allow flashlights."
"L4D_vote_stop_lights"	"Äänestys: Kielletäänkö taskulamput?"
"[english]L4D_vote_stop_lights"	"Vote: Stop using flashlights."
"L4D_vote_passed_allow_lights"	"Asia hyväksytty. Taskulamput sallitaan: %s1."
"[english]L4D_vote_passed_allow_lights"	"Vote passed: Allow flashlights: %s1."
"L4D_vote_friend_pushing_allowed"	"Kaverien töniminen on jo sallittu."
"[english]L4D_vote_friend_pushing_allowed"	"Survivor friend-pushing is already allowed."
"L4D_vote_no_friend_pushing"	"Kaverien töniminen on jo kielletty."
"[english]L4D_vote_no_friend_pushing"	"Survivor friend-pushing is already disallowed."
"L4D_vote_allow_pushing"	"Äänestys: Sallitaanko kaverien töniminen?"
"[english]L4D_vote_allow_pushing"	"Vote: Allow friendly pushing."
"L4D_vote_disallow_pushing"	"Äänestys: Kielletäänkö kaverien töniminen?"
"[english]L4D_vote_disallow_pushing"	"Vote: Disallow friendly pushing."
"L4D_vote_passed_pushing"	"Asia hyväksytty. Kaverien töniminen sallitaan: %s1."
"[english]L4D_vote_passed_pushing"	"Vote passed: Allow friendly pushing: %s1."
"L4D_vote_requires_valid"	"Tarvitaan kelvollinen pelaaja."
"[english]L4D_vote_requires_valid"	"Requires valid player."
"L4D_vote_already_has_grenades"	"Pelaajalla on jo kranaattikielto: %s1."
"[english]L4D_vote_already_has_grenades"	"That player already has grenade ban %s1."
"L4D_vote_ban_grenades_from"	"Äänestys: Kielletäänkö kranaatit pelaajalta %s1?"
"[english]L4D_vote_ban_grenades_from"	"Vote: Ban %s1 from grenade use."
"L4D_vote_lift_ban_grenades_from"	"Äänestys: Poistetaanko kranaattikielto pelaajalta %s1?"
"[english]L4D_vote_lift_ban_grenades_from"	"Vote: Lift grenade ban from %s1."
"L4D_vote_grenades_from_to"	"Äänestys: Kranaatit %s1 pelaajalta %s2."
"[english]L4D_vote_grenades_from_to"	"Vote: Grenades %s1 from %s2."
"L4D_vote_scramble_next_round"	"Tiimit sekoitetaan jo seuraavassa erässä."
"[english]L4D_vote_scramble_next_round"	"Teams will already be scrambled next round."
"L4D_vote_should_scramble_round"	"Äänestys: Sekoitetaanko tiimit seuraavassa erässä?"
"[english]L4D_vote_should_scramble_round"	"Vote: Scramble teams next round."
"L4D_vote_passed_scramble"	"Asia hyväksytty: tiimit sekoitetaan seuraavassa erässä."
"[english]L4D_vote_passed_scramble"	"Vote passed: Teams scrambled next round."
"L4D_vote_not_valid_mission"	"Kampanja ei ole kelvollinen."
"[english]L4D_vote_not_valid_mission"	"Not a valid campaign."
"L4D_vote_change_mission_to"	"Äänestys: Vaihdetaanko kampanjaksi %s1?"
"[english]L4D_vote_change_mission_to"	"Vote: Change campaign to %s1."
"L4D_vote_should_change_mission"	"Äänestys: Vaihdetaanko seuraavaksi kampanjaksi %s1?"
"[english]L4D_vote_should_change_mission"	"Vote: Change next campaign to %s1?"
"L4D_vote_will_change_mission"	"Asia hyväksytty: seuraava kampanja on %s1."
"[english]L4D_vote_will_change_mission"	"Vote passed: Next campaign is %s1."
"L4D_vote_call_impossible"	"Äänestys: Valitaanko %s1 Mestari?"
"[english]L4D_vote_call_impossible"	"Vote: Set %s1 to Expert."
"L4D_vote_call_hard"	"Äänestys: Valitaanko %s1 Vaativa?"
"[english]L4D_vote_call_hard"	"Vote: Set %s1 to Advanced."
"L4D_vote_call_normal"	"Äänestys: Valitaanko %s1 Normaali?"
"[english]L4D_vote_call_normal"	"Vote: Set %s1 to Normal."
"L4D_vote_call_easy"	"Äänestys: Valitaanko %s1 Helppo?"
"[english]L4D_vote_call_easy"	"Vote: Set %s1 to Easy."
"L4D_vote_kick_player"	"Erotetaanko pelaaja %s1?"
"[english]L4D_vote_kick_player"	"Kick player: %s1?"
"L4D_vote_should_player"	"Äänestys: Erotetaanko pelaaja %s1?"
"[english]L4D_vote_should_player"	"Vote: Kick %s1?"
"L4D_vote_defeated"	"Asia hylätty."
"[english]L4D_vote_defeated"	"Vote defeated."
"L4D_vote_header"	"ÄÄNESTYS:"
"[english]L4D_vote_header"	"VOTE:"
"L4D_vote_passed_kick_player"	"Erotetaan pelaaja %s1..."
"[english]L4D_vote_passed_kick_player"	"Kicking player: %s1..."
"L4D_vote_change_difficulty"	"Vaihdetaanko vaikeustasoksi %s1?"
"[english]L4D_vote_change_difficulty"	"Change difficulty to %s1?"
"L4D_vote_passed_change_difficulty"	"Vaihdetaan vaikeustasoksi  %s1..."
"[english]L4D_vote_passed_change_difficulty"	"Changing difficulty to %s1..."
"L4D_vote_restart_game"	"Aloitetaanko kampanja alusta?"
"[english]L4D_vote_restart_game"	"Restart campaign?"
"L4D_vote_passed_restart_game"	"Aloitetaan kampanja alusta..."
"[english]L4D_vote_passed_restart_game"	"Restarting campaign..."
"L4D_vote_mission_change"	"Vaihdetaanko kampanjaksi %s1?"
"[english]L4D_vote_mission_change"	"Change campaign to %s1?"
"L4D_vote_passed_mission_change"	"Vaihdetaan kampanjaksi %s1..."
"[english]L4D_vote_passed_mission_change"	"Changing campaign to %s1..."
"L4D_vote_return_to_lobby"	"Palataanko aulaan?"
"[english]L4D_vote_return_to_lobby"	"Return to Lobby?"
"L4D_vote_passed_return_to_lobby"	"Palataan aulaan..."
"[english]L4D_vote_passed_return_to_lobby"	"Returning to Lobby..."
"L4D_vote_chapter_change"	"Vaihdetaanko luvuksi %s1?"
"[english]L4D_vote_chapter_change"	"Change chapter to %s1?"
"L4D_vote_passed_chapter_change"	"Vaihdetaan luvuksi %s1..."
"[english]L4D_vote_passed_chapter_change"	"Changing chapter to %s1..."
"L4D_vote_yes_instruction_a"	"Valitse ALOITA"
"[english]L4D_vote_yes_instruction_a"	"Press START"
"L4D_vote_no_instruction_a"	"Valitse TAKAISIN"
"[english]L4D_vote_no_instruction_a"	"Press BACK"
"L4D_vote_yes_instruction_b"	"jos äänestät KYLLÄ"
"[english]L4D_vote_yes_instruction_b"	"to vote YES"
"L4D_vote_no_instruction_b"	"jos äänestät EI"
"[english]L4D_vote_no_instruction_b"	"to vote NO"
"L4D_vote_yes_pc_instruction"	"Äänestä KYLLÄ valitsemalla %vote yes%"
"[english]L4D_vote_yes_pc_instruction"	"Press %vote yes% to vote YES"
"L4D_vote_no_pc_instruction"	"Äänestä EI valitsemalla %vote no%"
"[english]L4D_vote_no_pc_instruction"	"Press %vote no% to vote NO"
"L4D_vote_current_vote_count"	"Nykyinen äänestystulos:"
"[english]L4D_vote_current_vote_count"	"Current vote count:"
"L4d_vote_vote_passed"	"ASIA HYVÄKSYTTY!"
"[english]L4d_vote_vote_passed"	"VOTE PASSED!"
"L4d_vote_vote_failed"	"ASIA HYLÄTTY."
"[english]L4d_vote_vote_failed"	"VOTE FAILED."
"L4d_vote_not_enough_votes"	"Kyllä-ääniä on oltava enemmän kuin Ei-ääniä."
"[english]L4d_vote_not_enough_votes"	"Yes votes must exceed No votes."
"L4d_vote_not_enough_votes2"	"Kyllä-ääniä on oltava enemmän kuin Ei-ääniä."
"[english]L4d_vote_not_enough_votes2"	"Requires more Yes votes than No votes."
"L4d_vote_not_enough_votes3"	"Kyllä-äänet eivät voittaneet."
"[english]L4d_vote_not_enough_votes3"	"Yes votes were not a majority."
"L4D_vote_skip_outtro"	"Äänestä ohittamisesta"
"[english]L4D_vote_skip_outtro"	"Vote to Skip"
"L4D_vote_skip_outtro_pc"	"Välilyönti – äänestä ohittamisesta"
"[english]L4D_vote_skip_outtro_pc"	"Space Bar - Vote to Skip"
"L4D_vote_skip_outtro_pc_singleplayer"	"Välilyönti – palaa aulaan"
"[english]L4D_vote_skip_outtro_pc_singleplayer"	"Space Bar - Return to Lobby"
