"lang"
{
"Language"	"brazilian"
"L4D_Scavenge_MatchLost"	"VOCÊ PERDEU A PARTIDA"
"[english]L4D_Scavenge_MatchLost"	"YOU LOST THE MATCH"
"L4D_Scavenge_MatchTied"	"A PARTIDA TERMINOU EMPATADA!"
"[english]L4D_Scavenge_MatchTied"	"THE MATCH ENDED IN A TIE!"
"L4D_Scavenge_Wins"	"Rodadas vencidas"
"[english]L4D_Scavenge_Wins"	"Rounds Won"
"L4D_Scavenge_YourTeam"	"Sua equipe:"
"[english]L4D_Scavenge_YourTeam"	"Your Team:"
"L4D_Scavenge_Opponent"	"Equipe adversária:"
"[english]L4D_Scavenge_Opponent"	"Enemy Team:"
"L4D_Scavenge_Survivors_Wiped"	"Os Sobreviventes foram mortos!"
"[english]L4D_Scavenge_Survivors_Wiped"	"The Survivors were killed!"
"L4D_Scavenge_Map_Cleared"	"Os Sobreviventes fizeram a limpa!"
"[english]L4D_Scavenge_Map_Cleared"	"The Survivors cleared the map!"
"L4D_Scavenge_Time_Expired"	"O tempo acabou!"
"[english]L4D_Scavenge_Time_Expired"	"The timer expired!"
"L4D_Scavenge_TieBreaker_Title"	"DESEMPATE"
"[english]L4D_Scavenge_TieBreaker_Title"	"TIE BREAKER"
"L4D_Scavenge_TieBreaker_Description"	"Tempo que levou para alcançar %s1 pontos:"
"[english]L4D_Scavenge_TieBreaker_Description"	"Time it took to reach %s1 points:"
"L4D_Scavenge_TieBreaker_Description_Singular"	"Tempo que levou para alcançar 1 ponto:"
"[english]L4D_Scavenge_TieBreaker_Description_Singular"	"Time it took to reach 1 point:"
"L4D_Scavenge_TieBreaker_Description_Zero"	"Tempo que levou para a rodada acabar:"
"[english]L4D_Scavenge_TieBreaker_Description_Zero"	"Time it took for the round to end:"
"L4D_Versus_TieBreaker_Description"	"Causou mais dano como Infectado:"
"[english]L4D_Versus_TieBreaker_Description"	"Did the most damage as Infected:"
"medal_0_earned"	"%s1 conquistou a Medalha de Bronze!"
"[english]medal_0_earned"	"%s1 has earned the Bronze Medal!"
"medal_1_earned"	"%s1 conquistou a Medalha de Prata!"
"[english]medal_1_earned"	"%s1 has earned the Silver Medal!"
"medal_2_earned"	"%s1 conquistou a Medalha de Ouro!"
"[english]medal_2_earned"	"%s1 has earned the Gold Medal!"
"L4D_Weapon_Pistol"	"Pistola"
"[english]L4D_Weapon_Pistol"	"Pistol"
"L4D_Weapon_Pistol_CAPS"	"PISTOLA"
"[english]L4D_Weapon_Pistol_CAPS"	"PISTOL"
"L4D_Weapon_SMG"	"Submetralhadora"
"[english]L4D_Weapon_SMG"	"Submachine Gun"
"L4D_Weapon_SMG_CAPS"	"SUBMETRALHADORA"
"[english]L4D_Weapon_SMG_CAPS"	"SUBMACHINE GUN"
"L4D_Weapon_PumpShotgun"	"Escopeta"
"[english]L4D_Weapon_PumpShotgun"	"Pump Shotgun"
"L4D_Weapon_PumpShotgun_CAPS"	"ESCOPETA"
"[english]L4D_Weapon_PumpShotgun_CAPS"	"PUMP SHOTGUN"
"L4D_Weapon_AutoShotgun"	"Escopeta Automática"
"[english]L4D_Weapon_AutoShotgun"	"Auto Shotgun"
"L4D_Weapon_AutoShotgun_CAPS"	"ESCOPETA AUTOMÁTICA"
"[english]L4D_Weapon_AutoShotgun_CAPS"	"AUTO SHOTGUN"
"L4D_Weapon_AssaultRifle"	"Rifle de assalto"
"[english]L4D_Weapon_AssaultRifle"	"Assault Rifle"
"L4D_Weapon_AssaultRifle_CAPS"	"RIFLE DE ASSALTO"
"[english]L4D_Weapon_AssaultRifle_CAPS"	"ASSAULT RIFLE"
"L4D_Weapon_HuntingRifle"	"Rifle de caça"
"[english]L4D_Weapon_HuntingRifle"	"Hunting Rifle"
"L4D_Weapon_HuntingRifle_CAPS"	"RIFLE DE CAÇA"
"[english]L4D_Weapon_HuntingRifle_CAPS"	"HUNTING RIFLE"
"L4D_Weapon_FirstAidKit"	"Kit de Primeiros Socorros"
"[english]L4D_Weapon_FirstAidKit"	"First Aid Kit"
"L4D_Weapon_FirstAidKit_CAPS"	"KIT DE PRIMEIROS SOCORROS"
"[english]L4D_Weapon_FirstAidKit_CAPS"	"FIRST AID KIT"
"L4D_Weapon_Molotov"	"Molotov"
"[english]L4D_Weapon_Molotov"	"Molotov"
"L4D_Weapon_Molotov_CAPS"	"MOLOTOV"
"[english]L4D_Weapon_Molotov_CAPS"	"MOLOTOV"
"L4D_Weapon_PipeBomb"	"Bomba caseira"
"[english]L4D_Weapon_PipeBomb"	"Pipe Bomb"
"L4D_Weapon_PipeBomb_CAPS"	"BOMBA CASEIRA"
"[english]L4D_Weapon_PipeBomb_CAPS"	"PIPE BOMB"
"L4D_Weapon_PainPills"	"Analgésicos"
"[english]L4D_Weapon_PainPills"	"Pain Pills"
"L4D_Weapon_PainPills_CAPS"	"ANALGÉSICOS"
"[english]L4D_Weapon_PainPills_CAPS"	"PAIN PILLS"
"L4D_melee_ability"	"Empurrar inimigos para trás"	[$X360]
"[english]L4D_melee_ability"	"Push Away Enemies"
"L4D_melee_ability"	"Empurrar inimigos para trás"	[$WIN32]
"[english]L4D_melee_ability"	"Push away enemies"
"L4D_zoom"	"Usar mira do rifle de caça/sniper"	[$X360]
"[english]L4D_zoom"	"Use Hunting/Sniper Rifle Scope"
"L4D_zoom"	"Usar mira do rifle de caça/sniper"	[$WIN32]
"[english]L4D_zoom"	"Use hunting/sniper rifle scope"
"L4D_give"	"Dar arma"	[$X360]
"[english]L4D_give"	"Give Weapon"
"L4D_give"	"Dar arma"	[$WIN32]
"[english]L4D_give"	"Give weapon"
"L4D_vote_yes"	"Votar \"sim\" na votação ativa"	[$X360]
"[english]L4D_vote_yes"	"Vote Yes on Active Issue"
"L4D_vote_yes"	"Votar \"sim\" na votação ativa"	[$WIN32]
"[english]L4D_vote_yes"	"Vote yes on active issue"
"L4D_vote_no"	"Votar \"não\" na votação ativa"	[$X360]
"[english]L4D_vote_no"	"Vote No on Active Issue"
"L4D_vote_no"	"Votar \"não\" na votação ativa"	[$WIN32]
"[english]L4D_vote_no"	"Vote no on active issue"
"L4D_call_vote"	"Iniciar votação"	[$X360]
"[english]L4D_call_vote"	"Call Vote"
"L4D_call_vote"	"Iniciar votação"	[$WIN32]
"[english]L4D_call_vote"	"Call vote"
"L4D_orders"	"Ordens"
"[english]L4D_orders"	"Orders"
"L4D_questions"	"Perguntas e Respostas"	[$X360]
"[english]L4D_questions"	"Questions and Answers"
"L4D_questions"	"Perguntas e respostas"	[$WIN32]
"[english]L4D_questions"	"Questions and answers"
"L4D_alerts"	"Alertas"
"[english]L4D_alerts"	"Alerts"
"L4D_taunt"	"Provocar"
"[english]L4D_taunt"	"Taunt"
"L4D_select_class"	"Selecionar classe"	[$X360]
"[english]L4D_select_class"	"Select Class"
"L4D_select_class"	"Selecionar classe"	[$WIN32]
"[english]L4D_select_class"	"Select class"
"L4D_reportscreen"	"Exibir tela de relatório"	[$X360]
"[english]L4D_reportscreen"	"Show Report Screen"
"L4D_reportscreen"	"Exibir tela de relatório"	[$WIN32]
"[english]L4D_reportscreen"	"Show report screen"
"L4D_reposition"	"Escolher nova classe de Infectado"	[$X360]
"[english]L4D_reposition"	"Pick New Infected Class"
"L4D_reposition"	"Escolher nova classe de Infectado"	[$WIN32]
"[english]L4D_reposition"	"Pick new Infected class"
"L4D_hide_messagepanel"	"Ocultar painel de mensagens"	[$X360]
"[english]L4D_hide_messagepanel"	"Hide Message Panel"
"L4D_hide_messagepanel"	"Ocultar painel de mensagens"	[$WIN32]
"[english]L4D_hide_messagepanel"	"Hide message panel"
"L4D_Walk"	"Andar (mover-se lentamente)"	[$X360]
"[english]L4D_Walk"	"Walk (Move Slowly)"
"L4D_Walk"	"Andar (mover-se lentamente)"	[$WIN32]
"[english]L4D_Walk"	"Walk (move slowly)"
"L4D_ReportBug"	"Relatar bug"
"[english]L4D_ReportBug"	"Report bug"
"L4D_vote_yes_binding"	"Sim: %s1"
"[english]L4D_vote_yes_binding"	"Yes: %s1"
"L4D_vote_no_binding"	"Não: %s1"
"[english]L4D_vote_no_binding"	"No: %s1"
"L4D_vote_yes_tally"	"Sim"
"[english]L4D_vote_yes_tally"	"Yes"
"L4D_vote_no_tally"	"Não"
"[english]L4D_vote_no_tally"	"No"
"L4D_vote_before_spawn_exit"	"Você só pode votar nisso antes que as pessoas saiam da área inicial de renascimento."
"[english]L4D_vote_before_spawn_exit"	"You can only vote on that before people leave the starting spawn area."
"L4D_vote_server_disabled_issue"	"O servidor desativou esse motivo."
"[english]L4D_vote_server_disabled_issue"	"Server has disabled that issue."
"L4D_vote_arg_between_1_and_4"	"Precisa de valor entre 1 e 4."
"[english]L4D_vote_arg_between_1_and_4"	"Needs value between 1 and 4."
"L4D_vote_arg_between_0_and_4"	"Precisa de valor entre 0 e 4."
"[english]L4D_vote_arg_between_0_and_4"	"Needs value between 0 and 4."
"L4D_vote_already_survivor_limit"	"Limite de Sobreviventes já é %s1"
"[english]L4D_vote_already_survivor_limit"	"Survivor limit is already %s1."
"L4D_vote_survivor_limit"	"Votação: Alterar limite de Sobreviventes para %s1?"
"[english]L4D_vote_survivor_limit"	"Vote: Make Survivor limit %s1?"
"L4D_vote_passed_max_survivors"	"Votação aprovada: Máx. de %s1 Sobreviventes."
"[english]L4D_vote_passed_max_survivors"	"Vote passed: Max %s1 Survivors."
"L4D_vote_infected_limit"	"Limite de jogadores Infectados já é %s1."
"[english]L4D_vote_infected_limit"	"Player Infected limit is already %s1."
"L4D_vote_dis_controlled_infected"	"Votação: Não permitir Infectados controlados por humanos."
"[english]L4D_vote_dis_controlled_infected"	"Vote: Disallow human-controlled Infected."
"L4D_vote_controlled_infected"	"Votação: Permitir Infectados controlados por humanos."
"[english]L4D_vote_controlled_infected"	"Vote: Allow human-controlled Infected."
"L4D_vote_passed_dis_cont_infect"	"Votação aprovada: Infectados controlados por humanos não serão permitidos."
"[english]L4D_vote_passed_dis_cont_infect"	"Vote passed: Disallow human-controlled Infected."
"L4D_vote_passed_cont_infect"	"Votação aprovada: Infectados controlados por humanos serão permitidos."
"[english]L4D_vote_passed_cont_infect"	"Vote passed: Allow human-controlled Infected."
"L4D_vote_needs_difficulty"	"Requer valor de Fácil, Normal, Avançado ou Experiente."
"[english]L4D_vote_needs_difficulty"	"Needs value of Easy, Normal, Advanced, or Expert."
"L4D_vote_difficulty_is"	"Já está na dificuldade %s1."
"[english]L4D_vote_difficulty_is"	"Difficulty is already %s1."
"L4D_vote_needs_on_off"	"Requer valor de \"ligado\" ou \"desligado\"."
"[english]L4D_vote_needs_on_off"	"Needs value of on or off."
"L4D_vote_light_already_allow"	"Lanternas já são permitidas."
"[english]L4D_vote_light_already_allow"	"Flashlights are already allowed."
"L4D_vote_light_already_disallow"	"Lanternas já estão proibidas."
"[english]L4D_vote_light_already_disallow"	"Flashlights are already disallowed."
"L4D_vote_allow_lights"	"Votação: Permitir lanternas."
"[english]L4D_vote_allow_lights"	"Vote: Allow flashlights."
"L4D_vote_stop_lights"	"Votação: Parar de usar lanternas."
"[english]L4D_vote_stop_lights"	"Vote: Stop using flashlights."
"L4D_vote_passed_allow_lights"	"Votação aprovada: Permitir lanternas: %s1."
"[english]L4D_vote_passed_allow_lights"	"Vote passed: Allow flashlights: %s1."
"L4D_vote_friend_pushing_allowed"	"Já é permitido que se empurre sobreviventes amigos."
"[english]L4D_vote_friend_pushing_allowed"	"Survivor friend-pushing is already allowed."
"L4D_vote_no_friend_pushing"	"Já não é permitido que se empurre sobreviventes amigos."
"[english]L4D_vote_no_friend_pushing"	"Survivor friend-pushing is already disallowed."
"L4D_vote_allow_pushing"	"Votação: Permitir que se empurre amigos."
"[english]L4D_vote_allow_pushing"	"Vote: Allow friendly pushing."
"L4D_vote_disallow_pushing"	"Votação: Não permitir que se empurre amigos."
"[english]L4D_vote_disallow_pushing"	"Vote: Disallow friendly pushing."
"L4D_vote_passed_pushing"	"Votação aprovada: permitir empurrar aliados: %s1."
"[english]L4D_vote_passed_pushing"	"Vote passed: Allow friendly pushing: %s1."
"L4D_vote_requires_valid"	"Requer jogador válido."
"[english]L4D_vote_requires_valid"	"Requires valid player."
"L4D_vote_already_has_grenades"	"Esse jogador já tem proibição de granada %s1."
"[english]L4D_vote_already_has_grenades"	"That player already has grenade ban %s1."
"L4D_vote_ban_grenades_from"	"Votação: Não permitir que %s1 use granadas."
"[english]L4D_vote_ban_grenades_from"	"Vote: Ban %s1 from grenade use."
"L4D_vote_lift_ban_grenades_from"	"Votação: Retirar a proibição de granada de %s1."
"[english]L4D_vote_lift_ban_grenades_from"	"Vote: Lift grenade ban from %s1."
"L4D_vote_grenades_from_to"	"Votação: Granadas %s1 de %s2."
"[english]L4D_vote_grenades_from_to"	"Vote: Grenades %s1 from %s2."
"L4D_vote_scramble_next_round"	"As equipes já serão misturadas na próxima rodada."
"[english]L4D_vote_scramble_next_round"	"Teams will already be scrambled next round."
"L4D_vote_should_scramble_round"	"Votação:  Misturar as equipes na próxima rodada."
"[english]L4D_vote_should_scramble_round"	"Vote: Scramble teams next round."
"L4D_vote_passed_scramble"	"Votação aprovada: as equipes serão misturadas na próxima rodada."
"[english]L4D_vote_passed_scramble"	"Vote passed: Teams scrambled next round."
"L4D_vote_not_valid_mission"	"Não é uma campanha válida."
"[english]L4D_vote_not_valid_mission"	"Not a valid campaign."
"L4D_vote_change_mission_to"	"Votação: Mudar campanha para %s1."
"[english]L4D_vote_change_mission_to"	"Vote: Change campaign to %s1."
"L4D_vote_should_change_mission"	"Votação: Mudar próxima campanha para %s1?"
"[english]L4D_vote_should_change_mission"	"Vote: Change next campaign to %s1?"
"L4D_vote_will_change_mission"	"Votação aprovada: A próxima campanha será %s1."
"[english]L4D_vote_will_change_mission"	"Vote passed: Next campaign is %s1."
"L4D_vote_call_impossible"	"Votação: Alterar %s1 para Experiente."
"[english]L4D_vote_call_impossible"	"Vote: Set %s1 to Expert."
"L4D_vote_call_hard"	"Votação: Alterar %s1 para Avançado."
"[english]L4D_vote_call_hard"	"Vote: Set %s1 to Advanced."
"L4D_vote_call_normal"	"Votação: Alterar %s1 para Normal."
"[english]L4D_vote_call_normal"	"Vote: Set %s1 to Normal."
"L4D_vote_call_easy"	"Votação: Alterar %s1 para Fácil."
"[english]L4D_vote_call_easy"	"Vote: Set %s1 to Easy."
"L4D_vote_kick_player"	"Expulsar jogador: %s1?"
"[english]L4D_vote_kick_player"	"Kick player: %s1?"
"L4D_vote_should_player"	"Votação: Expulsar %s1?"
"[english]L4D_vote_should_player"	"Vote: Kick %s1?"
"L4D_vote_defeated"	"Votação reprovada."
"[english]L4D_vote_defeated"	"Vote defeated."
"L4D_vote_header"	"VOTAÇÃO:"
"[english]L4D_vote_header"	"VOTE:"
"L4D_vote_passed_kick_player"	"Expulsando jogador: %s1..."
"[english]L4D_vote_passed_kick_player"	"Kicking player: %s1..."
"L4D_vote_change_difficulty"	"Alterar dificuldade para %s1?"
"[english]L4D_vote_change_difficulty"	"Change difficulty to %s1?"
"L4D_vote_passed_change_difficulty"	"Alterando dificuldade para %s1..."
"[english]L4D_vote_passed_change_difficulty"	"Changing difficulty to %s1..."
"L4D_vote_restart_game"	"Reiniciar campanha?"
"[english]L4D_vote_restart_game"	"Restart campaign?"
"L4D_vote_passed_restart_game"	"Reiniciando campanha..."
"[english]L4D_vote_passed_restart_game"	"Restarting campaign..."
"L4D_vote_mission_change"	"Mudar campanha para %s1?"
"[english]L4D_vote_mission_change"	"Change campaign to %s1?"
"L4D_vote_passed_mission_change"	"Mudando campanha para %s1..."
"[english]L4D_vote_passed_mission_change"	"Changing campaign to %s1..."
"L4D_vote_return_to_lobby"	"Retornar à sala?"
"[english]L4D_vote_return_to_lobby"	"Return to Lobby?"
"L4D_vote_passed_return_to_lobby"	"Voltando à sala..."
"[english]L4D_vote_passed_return_to_lobby"	"Returning to Lobby..."
"L4D_vote_chapter_change"	"Mudar capítulo para %s1?"
"[english]L4D_vote_chapter_change"	"Change chapter to %s1?"
"L4D_vote_passed_chapter_change"	"Mudando capítulo para %s1..."
"[english]L4D_vote_passed_chapter_change"	"Changing chapter to %s1..."
"L4D_vote_yes_instruction_a"	"Pressione START"
"[english]L4D_vote_yes_instruction_a"	"Press START"
"L4D_vote_no_instruction_a"	"Pressione VOLTAR"
"[english]L4D_vote_no_instruction_a"	"Press BACK"
"L4D_vote_yes_instruction_b"	"para votar SIM"
"[english]L4D_vote_yes_instruction_b"	"to vote YES"
"L4D_vote_no_instruction_b"	"para votar NÃO"
"[english]L4D_vote_no_instruction_b"	"to vote NO"
"L4D_vote_yes_pc_instruction"	"Pressione %vote yes% para votar SIM"
"[english]L4D_vote_yes_pc_instruction"	"Press %vote yes% to vote YES"
"L4D_vote_no_pc_instruction"	"Pressione %vote no% para votar NÃO"
"[english]L4D_vote_no_pc_instruction"	"Press %vote no% to vote NO"
"L4D_vote_current_vote_count"	"Contagem atual de votos:"
"[english]L4D_vote_current_vote_count"	"Current vote count:"
"L4d_vote_vote_passed"	"VOTAÇÃO APROVADA!"
"[english]L4d_vote_vote_passed"	"VOTE PASSED!"
"L4d_vote_vote_failed"	"VOTAÇÃO REPROVADA."
"[english]L4d_vote_vote_failed"	"VOTE FAILED."
"L4d_vote_not_enough_votes"	"Deve haver mais votos \"sim\" do que votos \"não\"."
"[english]L4d_vote_not_enough_votes"	"Yes votes must exceed No votes."
"L4d_vote_not_enough_votes2"	"Deve haver mais votos \"sim\" do que votos \"não\"."
"[english]L4d_vote_not_enough_votes2"	"Requires more Yes votes than No votes."
"L4d_vote_not_enough_votes3"	"Votos \"sim\" não foram a maioria."
"[english]L4d_vote_not_enough_votes3"	"Yes votes were not a majority."
"L4D_vote_skip_outtro"	"Vote para pular"
"[english]L4D_vote_skip_outtro"	"Vote to Skip"
"L4D_vote_skip_outtro_pc"	"Barra de espaço — votar para pular"
"[english]L4D_vote_skip_outtro_pc"	"Space Bar - Vote to Skip"
"L4D_vote_skip_outtro_pc_singleplayer"	"Barra de espaço — retornar à sala"
"[english]L4D_vote_skip_outtro_pc_singleplayer"	"Space Bar - Return to Lobby"
"L4d_vote_no_vote_spam"	"Você não pode chamar uma nova votação logo após a última."
"[english]L4d_vote_no_vote_spam"	"You cannot call a new vote so soon after the last."
"L4d_vote_no_transition_vote"	"Você não pode iniciar uma nova votação enquanto os outros jogadores ainda estiverem carregando o jogo."
"[english]L4d_vote_no_transition_vote"	"You cannot call a new vote while other players are still loading."
"L4D_vote_endgame_title"	"REVANCHE"
"[english]L4D_vote_endgame_title"	"REMATCH"
"L4D_vote_endgame_text"	"Jogar contra essa equipe novamente?"
"[english]L4D_vote_endgame_text"	"Play against this team again?"
"L4D_vote_endgame_vote_again_timer"	"%s1 segundos restantes para votar."
"[english]L4D_vote_endgame_vote_again_timer"	"%s1 seconds remaining to vote."
"L4D_vote_endgame_vote_return_won"	"Ambas as equipes votaram contra a revanche.\nRetornando à sala."
"[english]L4D_vote_endgame_vote_return_won"	"Both teams did not vote to rematch.\nReturning to lobby."
